beer_name,beer_rating,brewery_name,brewery_location,review_content,reviewer_name
Schwarze Rose Brewtiful IPA,3.5,Schwarze Rose Craft Beer,"Mainz, Rhineland-Palatinate","Flasche 0,33l: Bernstein, deutliche Trübung, kräftiger stabiler mittelporiger Schaum; sehr fruchtige + würzige Nase, leichte würzige Süße, exotische Früchte, Mango, Maracuja, kräftige frische Hopfennoten, Pinie, Malz, Getreide, etwas Karamell, kräftige Hefearomen, fruchtig-würzige Bitterkeit; sehr fruchtiger + würziger Körper, trockene Zitrusnoten, kräftige frische Hopfennoten, Grapefruit, Grapefruitzest, leichte Säure, Pinie, Malz, Getreide, cremig, kräftige Kohlensäure, kräftige Hefearomen; angenehmer fruchtig-würziger Nachgang",Thomas_W1
Adnams Triple Knot Tripel,3.6,Adnams,"Southwold, Suffolk","Home. 33 cl bottle. This is the 2018 version. A thin off-white foam layer on a clear amber beer. Aroma is light sweet, caramel, raisins, honey. Taste is sweet, somewhat light malty, alcohol, caramel, toffee, honey, floral, raisins/dale. Somewhat malty bitterness in aftertaste. Sticky. Not so much CO2.",EugeneStraver
Grebhans Koller Lager,3.5,Grebhans Bier,"Bremen, Bremen","Huge thanks to WillemsUrenkel for that one! Bottle looks good. Beer in the glass zippy, nice head. Starts fine malty, spicy, light sweetish touch. Some woody hints as well. Finish well balanced, spicy-malty. Quite drinkable. Nice.",kappldav123
Grebhans Stuben Schluck,3.6,Grebhans Bier,"Bremen, Bremen","Huge thanks to WillemsUrenkel for that one! Bottle looks really good. Beer in the glass zippy, nice head. Wonderful fruity-hoppy aroma. Starts intense hoppy, fruity, sweetish, not too intense. Notes of apricot, peaches, mild lemon. Finish well balanced, fruity-hoppy, mild bitterness. Nice one!",kappldav123
Union Bremer Helles ,3.5,Union Brauerei Bremen,"Bremen, Bremen","Huge thanks to WillemsUrenkel for that one! Bottle looks simple but good. Beer in the glass zippy, small head. Starts mild, malty, more and more fruity hoppy, fine notes of lemon, light sourish touch. Finish well balanced, fresh-hoppy. Quite drinkable. Nice one!",kappldav123
Hopfenfänger Hoppy Hell,3.3,Bremer Braumanufaktur,"Bremen, Bremen","Huge thanks to WillemsUrenkel for that one! Bottle looks simple but good. Beer in the glass zippy, small head. Starts mild, fine fresh-hoppy, hints of lemon. Light grasy notes. Mild bitter background. Finish well balanced. Quite drinkable. Nice!",kappldav123
OLs Alt Oldenburger Kellerbier,3.4,OLs Oldenburger Brauerei,"Oldenburg, Lower Saxony","Huge thanks to WillemsUrenkel for that one! Bottle looks simple but good. Beer in the glass zippy, nice head. Starts mild, malty, light wheaty notes. Shy hints of caramel. Also a light fruity touch. Well balanced finish. Nice.",kappldav123
Founders Dirty Bastard Scotch Ale,3.7,Founders Brewing Company (Mahou San Miguel),"Grand Rapids, Michigan","Aroma di frutti scuri, malto tostato spezie e caramello.
In bocca sentori marcati di frutti scuri caramello e spezie. Retrogusto alcolico e speziato.",defabant
Northern Monk Festive Faith,3.6,Northern Monk Brew Co.,"Leeds, West Yorkshire","440 ml can. Appearance hazy yellow big head with slurry since it is unfiltered. Aroma is unusual, somebody else described it as onions, i agreed with moderate tropical fruits aroma. Taste hits with spice followed by pomelo, hint of passionfruit, citrusy. Moderate bitterness and moderate sweetness. Finishing is piney, herbal",WareHavUBean
Flying Dog Raging Bitch Belgian-Style IPA,3.0,Flying Dog Brewery,"Frederick, Maryland","Aroma leggero di agrumi, malto, frumento e lievito belga.
In bocca sentori erbacei, agrumi, lievito belga e alcol. Bevibile ma non ben bilanciata.",defabant
Augustiner Edelstoff,3.1,Augustiner-Bräu,"Munich, Bavaria","Flaska från web-bier.de. Gyllengul klar vätska med ganska lågt vitt skum. Doft av säd, toast, blommor. Medelsöt med lätt fruktig sötma, säd, bröd, lite smör, blommor, en lätt gräsig beska. Ok",Vignale
Bell's VI: Salut Au Monde! (Leaves of Grass Series),3.8,Bell's Brewery,"Comstock, Michigan","12 oz. bottle. Lightly hazy golden. Smells of bready malt and some light spiciness. Tastes less bready, more spicy. Spice from the hops and from the rye. Rye lingers in the back end. Well carbonated, maybe even a little too much. A bit seltzery in the finish. I'm being really nitpicky here. I was expecting something maltier than this, based on the description. It's quite light and easy drinking.  It's still better than 90% of craft lagers out there, but it's a smidgen of a disappointment coming from Bell's.",ctipping
Bell's Überon,3.7,Bell's Brewery,"Comstock, Michigan","Growler. Mostly clear with a medium white head. Smells of sweet bread and wheat, sharp grain whiskey flavor, and some fruitiness. Tastes of strong whiskey. The whiskey grain flavor is strong. Wheat, some bubble gum. Boozy and a little sweet and fruity. Lingering whiskey flavor. Medium heavy. Unique whiskey flavor, as always from Traverse City. They always accentuate the grain flavor of their whiskey. I didn't think I could finish my glass when I started, but it turned out pretty good.",ctipping
Freethought Open,3.9,Freethought Brewery,"Brooklyn, New York","Hazy orange, small head, minimal retention and lacing. Although this is not the freshest can (at least 4 or 5 months) its hop power and aroma is still amazing. Floral, sweet, stone fruits. Tastes sweet, with honey, nectarine, apricot, orange juice, little pine, for the finish. Too good not to drink this in 2 or 3 sips. Easy going beer, sweet, fruity, light and quaffable... shorter than the time to write this!",colui72
Odd Breed Wild Ales Botanical Blend,3.8,Odd Breed Wild Ales,"Pompano Beach, Florida","375 mL bottle.  Clear golden with a big, but fleeting white head. Smells of classic Odd Breed French Oak, lemon acidity, and peppercorns. Tastes less sour than other Odd Breeds, which I appreciate. Peppercorns are all over the place. Lemon, lime, and even some grapefruit come through in the back end. Very dry and pithy back end with lingering peppercorns. Low carbonation. I really like the peppercorns. It's an intense flavor, but it keeps it interesting.",ctipping
Grizzly Paw Rutting Elk Red,3.0,Grizzly Paw Brewing Company,"Canmore, Alberta","From can (pkgd 10Aug'19) in tapered shaker. Pours murky mahogany w/thin fleeting tan head, light malty aroma. Low bitterness gives it a sweet cherry cola-type finish",ANZUShophunter
Gale's HSB,3.5,Fuller's Brewery (Asahi),"Chiswick, Greater London","Copper color,  good yellow foam. Aroma and taste: reach malts and pleasant hop bitterness, a bit fruity and floral. Nice beer.",alex_leit
Fuller's Red Fox (Cask),3.3,Fuller's Brewery (Asahi),"Chiswick, Greater London","Nice reddish color. Aroma: berry jam with sweetness, pie with wild berries (blueberries, blackberries and raspberries), caramel. Taste with good texture, malty, caramel, berry jam, pure and calm ale.",alex_leit
Fuller's London Pride (Filtered),3.7,Fuller's Brewery (Asahi),"Chiswick, Greater London","Amber color. Aroma: floral British hops and malty. Taste: malty, nuts and biscuit, moderate hop bitterness. Good brew.",alex_leit
Fuller's Jack Frost (Bottle),3.4,Fuller's Brewery (Asahi),"Chiswick, Greater London","Taste: malty with hop bitterness, blackberry, bitter finish. Aroma: berry notes are mixed with malt and hoppy tones, very pleasant.",alex_leit
Fuller's India Pale Ale (Bottle/Keg),3.6,Fuller's Brewery (Asahi),"Chiswick, Greater London","50 cl bottle. Amber color. Hoppy aroma, with floral-spicy, malty. Taste: hoppy and malty, a little wine, fruits, dry and bitter finish.",alex_leit
Fuller's ESB (Pasteurised),3.9,Fuller's Brewery (Asahi),"Chiswick, Greater London","Bottle, draft and can. Bronze color. Aroma: meadow flowers and honey, hoppy, good malts. Taste: sweetish, butter, a little nut in honey, bright tones of malts, warming, dry and bitter finish, very good.",alex_leit
Fuller's Discovery (Bottle),3.1,Fuller's Brewery (Asahi),"Chiswick, Greater London","Old note. Bottle 500 ml. Clear light golden beer, good foam. Very interesting aroma, rich floral tones, fruits with citruses. Taste: malty, fruity, watery, drinkable.",alex_leit
Speakeasy Metropolis,3.8,Speakeasy Ales and Lagers,"San Francisco, California","Cloudy hazy blonde with super aggressive smooth creamy foam which turns in to bubbles

Hop, licorice, slight citrus, lemon, tangerine, malt, bready, pine, floral

Creamy, slight hops, juicy, sweet malt, tart, good finish with tart and hop bitterness.",mbos4115
Fuller's Black Cab Stout,3.5,Fuller's Brewery (Asahi),"Chiswick, Greater London","Tap. Almost black. Aroma: burnt barley, croutons, hops and caramel. Taste: dry, bitter tones of roasted barley and malts, coffee beans, caramel, pleasant.",alex_leit
Dead Frog Pale Ale,3.2,Dead Frog Brewery,"Aldergrove, British Columbia","Keg at Koerner’s Pub, Vancouver, BC on 11/09/2008.  Solid pale ale, with decent piney hop bite to it.  Big malty undertones.",Beese
R & B Dark Star Oatmeal Stout,3.4,R & B Brewing Company (Howe Sound),"Vancouver, British Columbia","12oz bottle from BC Liquor, Vancouver, BC and drunk on 11/09/2008.  A very pleasant stout, with chocolate, vanilla and dark malt aroma.  Pretty smooth and with a nice bitter sweet linger.",Beese
Phillips Black Toque,3.8,Phillips Brewing Co.,"Victoria, British Columbia","12oz bottle from BC Liquor, Vancouver, BC and drunk on 11/09/2008.  Really nice BIPA; a bit closer to the stout end of the spectrum, as the roasty bitterness was quite pronounced and there was a good coffee hit in there.  No complaints from me, though.",Beese
Fuller's Bengal Lancer,3.5,Fuller's Brewery (Asahi),"Chiswick, Greater London","Bottle 5.3 abv. Good aroma, soft and fresh floral hops, malty. Taste: light and refreshing, malty and hoppy. Nice color, good foam, excellent aroma, balanced taste.",alex_leit
Old Yale Sasquatch Stout,3.5,Old Yale Brewing Co,"Chilliwack, British Columbia","16oz bottle from BC Liquor, Vancouver, BC and drunk on 11/09/2008.  A nice roasty stout, with dark chocolate and oaky notes.  Body a shade thin, but otherwise very nice.",Beese
Yaletown Yippie IPA,2.9,Yaletown Brewing Co.,"Vancouver, British Columbia","Keg at Yaletown Brewpub, Vancouver, BC on 10/09/2008.  Pleasant IPA; nothing really standout, but some nice grassy and citrus hop notes.",Beese
Yaletown Downtown Brown,2.7,Yaletown Brewing Co.,"Vancouver, British Columbia","Keg at Yaletown Brewpub, Vancouver, BC on 10/09/2008.  A decent enough brown ale; with caramel and slight earthy grain notes on the nose.  Fairly sweet flavour.",Beese
Yaletown Red Truck Ale,3.2,Yaletown Brewing Co.,"Vancouver, British Columbia","Keg at Yaletown Brewpub, Vancouver, BC on 10/09/2008.  A grainy, slightly nutty nose on this, with floral hop notes.  Malts dominate the flavour.",Beese
Yaletown Hills Special Wheat,2.9,Yaletown Brewing Co.,"Vancouver, British Columbia","Keg at Yaletown Brewpub, Vancouver, BC on 10/09/2008.  Not bad at all; and with some nice grassy and wheaty notes on the nose.  Fairly light body.",Beese
Yaletown Mainland Lager,3.1,Yaletown Brewing Co.,"Vancouver, British Columbia","Keg at Yaletown Brewpub, Vancouver, BC on 10/09/2008.  A solid lager, with a perfumed hop and bready malt nose.  Nice body and easy drinking.",Beese
Durham Imperious,3.8,Durham Brewery,"Bowburn, Durham","Bottle from the brewery online shop. Pours black with a thin tan head. Aromas of wood and whisky, chocolate and port. Taste is liquorice, dark sugars, boozy finish.",allmyvinyl
Bowen Island Traditional Lager,1.2,Kamloops Brewery,"Kamloops, British Columbia","Poured from 355mL can (I was desperate, Covid-19 times...). Clear pale yellow with white head.  Watery corn... need I say more?",pictoman
Casey Family Preserves: Anglo Peach & Fantasia Nectarine ,4.3,Casey Brewing and Blending,"Glenwood Springs, Colorado","Bottle. Pours a cloudy orange gold with small white head that diminishes quickly. The aroma is strong peach pith, nectarine flesh, oak, funk. Thin body, peach juice, light funk, nectarine flesh, very balanced, great tartness, enjoyed this.",djd07
Madhatters March Hare Cider (Draught),3.2,Madhatters Cider,"Stockport, Greater Manchester","Cask Handpump at the New Oxford, Salford 18/07/2009 Fruity aroma. Silver coloured and hazy in appearance with a fruity apple flavour. Dry and strong tannin finish.",DJMonarch
Burnt Mill / Dugges Dimma,3.2,Burnt Mill Brewery,"Badley, Suffolk","How: Can.
Where: Systembolaget.
Appearance: Hazy amber colour with an off-white head.
Aroma: Tropical fruit, malt, citrus.
Body: Medium body and carbonation.
Flavour: Tropical fruit, hops, malt, citrus.",AndySnow
Harboe Premium Pilsner,2.8,Harboes Bryggeri,"Skælskør, Denmark","A very decent cheap pilsner, with a bit more personality than Carlsberg etc.
Well balanced, fresh, no bad aftertaste.",Gallopkringlen
Echigo Nonbiri Funwari Shiroi Biiru / Weizen for a Relaxing Time,3.6,Echigo Beer Company,"Nishikanbara-gun, Niigata-ken, Japan","A Seijo Ishio find:

Echigo Nonbiri Funwari Shiroi Biiru
Weizen for a Relaxing Time 5%

Cute polar bear in a hammock on a green background can. Nice spicy cloves and wheat aroma with a thick eggy head that lingers a bit. Light bodied and surprisingly crisp and dry. The taste is spicy cloves all the way. Refreshing and matches the name for sure.",KansaiBeerLvrs
Zoiglhaus Zoigl-Pils,3.5,Zoiglhaus Brewing Company,"Portland, Oregon","12 oz. can from a 6-pack purchased from Roths West $alem Market.
$9
Pours a nice bright yellow..though it appears ever so slightly hazy? Great looking and lasting foamy white head.
Nice spicy/grassy hop aroma..very trad..strong malts.
Taste same..grassy hops backed by biscuity malts..balanced..yet still ice hop presence.
OK mouth feel maybe a bit under carbonated for style..and getting a wee bit of onion from the hops.
Overall nice pils..but could be cleaner finishing.",Reid
North Brewing Co / Verdant Citrus Pale Ale,3.7,North Brewing Co,"Leeds, West Yorkshire","Canned, 330ml from Warwick Real Ale, Warwick. Clouded orange with white head. Fresh, fruity, citrusy aroma to this on pouring. Rich citrusy flavours on drinking, marmalade, lemon peel, tangy, tangy. Crisp with a hint of bitterness, fuller on the palate. Very pleasant indeed.",imdownthepub
Cloudwater I B Who?,3.6,Cloudwater Brew Co,"Manchester, Greater Manchester","Canned, 440ml from Warwick Real Ale, Warwick. Copper brown with white head. Initially this has quite a caramel hit, quite sweet, toffee with a boozy background. The beer becomes a little more subtle as you work your way through it, sweet pear notes, fruity berries, jammy hints, quite estery in character. Interesting.",imdownthepub
Franziskaner Hefe-Weissbier / Weissbier Naturtrub,3.5,Spaten-Franziskaner-Bräu (AB InBev),"Munich, Bavaria","Color dorado turbio con espuma medio-alta blanca de retención y residuo medios. Aroma a trigo, plátano y levadura con notas a lúpulos alemanes y cítricos. Sabor a trigo crudo, pan y plátano con notas a especias, vainilla y ligera tierra. Dulzor maltoso medio, acidez ligera y amargor terroso medio-ligero con regusto medio-corto. Textura sedosa, cuerpo medio-denso y carbonatación medio-alta. Una Hefeweizen correcta con sabor a trigo y plátano por un lado, y toques lupulados al estilo alemán por el otro. Algo cansina pero equilibrada.",Pimot
Baladin Nora,3.5,Le Baladin,"Piozzo, Italy",Hazy yellow-orange beer with frothy white head that disappears very quickly. Estery and fruity aroma with orange and passion fruit. More sweet than bitter. Solid body. Enjoyable!,eunck
Weathered Souls Costa Rican French Press,4.1,Weathered Souls Brewing Company,"San Antonio, Texas","Can. Pours black with small tan head that lasts. The aroma is strong roast, dark chocolate, honey, cracker malt. Slick body, boozy, dark chocolate, roasted malt, graham cracker, cloying sweetness, very nice.",djd07
Propolis Fennel (2015 Field Series)  ,3.6,Propolis Brewing,"Port Townsend, Washington","Bottle from Bainbridge bought in February 2016 for $23 CAD, cellared for 4 years.
Attack: crisp creamy full
Mids: sour, orange citrus malt, wheaty airy malt, lvl4-sweetness 
Finish: coriander, wheat malt exhale
Overall: full flavoured and full textured. Not sure all the advertised flavours are there like clove and fennel, but definitely orange citrusy.",sulawang
Flora Hall Galaxy-Sabro DDH IPA,3.8,Flora Hall Brewing,"Ottawa, Ontario","Can that pours a hazy golden colour with a slight orange hue. The head is big, creamy-frothy, white, long lasting, leaving some foamy spots. Big citrus nose at first with the zest bitterness, but then, some sweetness comes out with fruitiness (pineapples, oranges). The taste shows again the citrus and pineapple, but also coconut notes. Some decent bitterness in the middle and hints of alcohol. Smooth mouthfeel and a little warming. A really nice, fruity DDH IPA that is right for these colder nights leaving us.",Metalchopz
Monkish Foggier Lockdown,4.0,Monkish Brewing Company,"Torrance, California","Poured from a 16 oz can dated April 01, 2020. 
Aroma is very hop forward and full of citrus notes. Some lighter mango, passion fruit and pineapple notes with a bit of a dank, resinous character. Light cracker malt notes and a touch of alcohol. 
Pours a very hazy, murky, pale straw color with a medium large, thick, frothy, white head that recedes steadily to a small film that lingers on the edges. Moderate lacing and small legs. 
Flavor is somewhat sweet with light cracker malt notes. Moderate bitterness and light alcohol spice. Loads of juicy hop notes, especially orange, tangerine and tropical citrus. Lighter notes of mango, passion fruit and pineapple. Light dank, resin notes. 
Mouthfeel is medium bodied with medium carbonation. Low astringency and low alcohol warmth. 
Overall, a really nice, juicy IPA. Kids of juicy citrus with lighter tropical fruit notes. Alcohol is well hidden and balanced by the hop and malt notes.",ineedbeer
Flying Monkeys Juicy Ass IPA,3.4,Flying Monkeys,"Barrie, Ontario","473ml can from Alko.
Poured unclear, hazy and dark yellow with a steady head.
Quite juicy and fruity aroma, hints of  pineapples and oranges. Malts, oranges, juiciness and hops. Feels a bit tired. Mild bitterness.",Hermod
Hanscraft & Co. Imperial Stout Vintage 2018,3.5,Hanscraft & Co.,"Aschaffenburg, Bavaria","330mL bottle, pours black with a small light brown head. Nose reveals moderate roast, a little soy sauce and iodine, and dry chalky cocoa. Flavour is more pronouncedly roasty, with plenty of roasted malt, dusty dry cocoa, and some bitter hops showing up in the back-end. Some alcohol is felt on the finish as well. Unspectacular, but sturdy and easy-to-drink for the style. Good stuff.",mcberko
Trillium Fort Point Pale Ale,3.9,Trillium Brewing Company,"Boston, Massachusetts","Pours hazy orange, small head, poor retention but good lacing. Canned on April 2, it's very fresh and aromatic: pine, dank, peach, mango, citrus, pineapple. Tastes moderately bitter, very juicy, flavour that follows the nose for the fruits, just some yeasty notes in addition. Medium bodied, crisp, maybe carbonation a bit too flat, but ok, dry finish. Overall, a very solid APA, dominated by fresh hops.",colui72
Mikerphone Wiggity Wiggity Wit,4.1,Mikerphone Brewing,"Elk Grove Village, Illinois","Aroma is wheat/malts and mild sweetness.  The flavor is wheat/malts, coriander and a slightly sweet/Belgian yeast finish.",wlajwl
Casey Funky Blender Preserves: Merlot Grape,4.3,Casey Brewing and Blending,"Glenwood Springs, Colorado","Bottle. Pours purple with small off white head that diminishes to nothing. The aroma is strong grape skin, funk, oak. Slick body, jammy, funky, sweet grape, vinous, light acidity, enjoyed this.",djd07
Branch and Blade Bliss (Boysenberries),3.8,Branch and Blade Brewing Company,"Keene, New Hampshire","Pours dark, cloudy ruby with a three finger, ruby head.  Aroma is berry, caramel and lacto.  Taste is strong boysenberry and caramel, moving to tart wheat.  Finish is strong, tart boysenberry and caramel.  This sour really make the boysenberry pop.",GregMooreNH
Odell Mango Tree Shaker,3.8,Odell Brewing Company,"Fort Collins, Colorado","Clear golden appearance with a white head. Aroma of mango, zesty hops, mild resin and light grainy notes. Similar flavor, hoppy, citrusy and tropical with pleasant bitterness and a balancing sweetness. Medium body with a smooth finish. Good.",ajnepple
Left Hand Peach Beerllini,2.6,Left Hand Brewing Company,"Longmont, Colorado","Pours hazy orange amber with three finger, white head.  Aroma is peach - that's it.  Taste is peach and candy sugar, moving to light tartness.  Finish is candy sugar and light peach.",GregMooreNH
Abomination Rotting Earth,4.0,Abomination Brewing Company,"East Stroudsburg, Pennsylvania","(Purple Label) Hazy yellow appearance with a fluffy white head. Aroma of dank hops, fresh cut grass, tropical fruit and mild citrus zest. Similar flavor, fresh and hoppy with pleasant bitterness and some juicy sweetness. Medium plus body with a lingering fruity hop finish. Nice.",ajnepple
Hailstorm Stratus,4.2,Hailstorm Brewing Co.,"Tinley Park, Illinois","Aroma is citrus/fruit and big piney hops.  The flavor is fruit/citrus, malts, mild berries and a grapefruit/warming bitter hop finish.",wlajwl
Wiley Roots Orange Chocolate Tart,3.7,Wiley Roots Brewing Company,"Greeley, Colorado","Clear golden appearance with a white head. Aroma of orange juice, mild lacto funk and light chocolaty notes. Similar flavor, zesty, tart and citrusy with pleasant sweetness and mild acidity. Light to medium body with a light cocoa finish. Interesting.",ajnepple
Untitled Art Zanzibar Chocolate Ice Cream Stout,3.8,Untitled Art,"Waunakee, Wisconsin","16 oz. can from the Root Cellar. Pours a dark cola brown color with a medium sized khaki colored head that disappeared quickly. The aroma and flavor have sweet malts, a slight powdery character to the chocolate, cocoa nibs, vanilla, a slight mineral quality to the finish, lactose, this is not as over the top as I expected, very good.",alexsdad06
SYC Pineapple F.O.M.O,3.2,SYC Brewing Co.,"Edmonton, Alberta","473ml can. Pours a clear gold with a medium, frothy, short lived, white head that laces. Fruity aroma of bready pale malt, grapefruit, orange rind, pineapple, floral hops and earthy yeast. Sweet fruity flavour of bready pale malt, lime, orange peel, mango, pineapple, floral hops and earthy yeast in a crisp, dry, sour finish. Light body with a sticky texture and average carbonation. Clean, refreshing and easy to drink. The pineapple was a little subtle, but overall a solid Sour.",cmacklin
Barebottle Salted Mangolicious IPA,2.9,Barebottle Brewing Company,"San Francisco, California",Crowler at home from Bare Bottle SC. Looks like orange juice when poured. Strong mango aroma. Tart mango taste with a bit of bitterness. Hint of saltiness and a slight spiciness that catches your throat a little. (K),batneil
Moonlight Dim Lights,3.7,Moonlight Brewing Company (Heineken),"Santa Rosa, California","Poured from a 16 oz can dated March 23, 2020. 
Aroma is malt forward with medium light grain and biscuit notes. Light smoke and hints of floral, woody hops. 
Pours a very clear, somewhat pale gold with a large, thick, pillowy white head that recedes steadily to a small film that lingers in clumps on the edges. Moderate lacing and no legs. 
Flavor is somewhat sweet with medium light grain notes and a bit of biscuit and cracker. Light, sweet, smokey notes with a hint of fruitiness. Light herbal, floral hop notes and a hint of alcohol. 
Mouthfeel is light bodied and crisp with medium carbonation. Low astringency and low alcohol warmth. 
Overall, a tasty lager. The smokiness adds a nice complexity and is well balanced with the sweet malt notes and woody, floral hop notes.",ineedbeer
